AssociationID,CaseMasterID,ActCode,SectionCode
1,1,BNS_2023,BNS Section 304
2,2,BNS_2023,BNS Section 111
3,3,BNS_2023,BNS Section 318
4,4,BNS_2023,BNS Section 103
5,5,BNS_2023,BNS Section 303
6,6,BNS_2023,BNS Section 304
7,7,BNS_2023,BNS Section 111
8,8,BNS_2023,BNS Section 318
9,9,BNS_2023,BNS Section 103
10,10,BNS_2023,BNS Section 303
11,11,BNS_2023,BNS Section 304
12,12,BNS_2023,BNS Section 111
13,13,BNS_2023,BNS Section 318
14,14,BNS_2023,BNS Section 103
15,15,BNS_2023,BNS Section 303
16,16,BNS_2023,BNS Section 304
17,17,BNS_2023,BNS Section 111
18,18,BNS_2023,BNS Section 318
19,19,BNS_2023,BNS Section 103
20,20,BNS_2023,BNS Section 303
21,21,BNS_2023,BNS Section 304
22,22,BNS_2023,BNS Section 111
23,23,BNS_2023,BNS Section 318
24,24,BNS_2023,BNS Section 103
25,25,BNS_2023,BNS Section 303
26,26,BNS_2023,BNS Section 304
27,27,BNS_2023,BNS Section 111
28,28,BNS_2023,BNS Section 318
29,29,BNS_2023,BNS Section 103
30,30,BNS_2023,BNS Section 303
31,31,BNS_2023,BNS Section 304
32,32,BNS_2023,BNS Section 111
33,33,BNS_2023,BNS Section 318
34,34,BNS_2023,BNS Section 103
35,35,BNS_2023,BNS Section 303
36,36,BNS_2023,BNS Section 304
37,37,BNS_2023,BNS Section 111
38,38,BNS_2023,BNS Section 318
39,39,BNS_2023,BNS Section 103
40,40,BNS_2023,BNS Section 303
41,41,BNS_2023,BNS Section 304
42,42,BNS_2023,BNS Section 111
43,43,BNS_2023,BNS Section 318
44,44,BNS_2023,BNS Section 103
45,45,BNS_2023,BNS Section 303
46,46,BNS_2023,BNS Section 304
47,47,BNS_2023,BNS Section 111
48,48,BNS_2023,BNS Section 318
49,49,BNS_2023,BNS Section 103
50,50,BNS_2023,BNS Section 303
