CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CrimeMajorHeadID,CrimeMinorHeadID,latitude,longitude,BriefFacts
1,11047202600001,202600001,2026-05-03 18:11:22,507,1047,1,101,13.017476214550175,77.57684648264606,Incident reported at Jayanagar Police Station. Offence under Robbery / Extortion. Investigation underway.
2,11047202600002,202600002,2026-05-10 18:11:22,501,1047,1,101,12.94463345274915,77.58863996351775,Incident reported at Jayanagar Police Station. Offence under Robbery / Extortion. Investigation underway.
3,11046202600003,202600003,2026-05-03 18:11:22,505,1046,4,104,12.926139421453787,77.63885653570132,Incident reported at Cubbon Park Police Station. Offence under Stalking / Harassment. Investigation underway.
4,11048202600004,202600004,2026-07-04 18:11:22,507,1048,1,101,13.01443000577588,77.54653932365774,Incident reported at Whitefield Police Station. Offence under Robbery / Extortion. Investigation underway.
5,11046202600005,202600005,2026-06-21 18:11:22,504,1046,3,103,12.922402716701217,77.5739003450916,Incident reported at Cubbon Park Police Station. Offence under Financial Fraud. Investigation underway.
6,11046202600006,202600006,2026-05-22 18:11:22,505,1046,2,102,13.01965857402927,77.56639696166174,Incident reported at Cubbon Park Police Station. Offence under Two-Wheeler Theft. Investigation underway.
7,11046202600007,202600007,2026-07-04 18:11:22,502,1046,4,104,13.015817067781548,77.61193327059324,Incident reported at Cubbon Park Police Station. Offence under Stalking / Harassment. Investigation underway.
8,11044202600008,202600008,2026-06-14 18:11:22,510,1044,3,103,13.00334305549212,77.57033421176395,Incident reported at Indiranagar Police Station. Offence under Financial Fraud. Investigation underway.
9,11045202600009,202600009,2026-05-01 18:11:22,501,1045,4,104,12.973545464175965,77.5961511448911,Incident reported at Koramangala Police Station. Offence under Stalking / Harassment. Investigation underway.
10,11045202600010,202600010,2026-05-29 18:11:22,508,1045,3,103,13.019155272033911,77.62182529903178,Incident reported at Koramangala Police Station. Offence under Financial Fraud. Investigation underway.
11,11046202600011,202600011,2026-06-27 18:11:22,504,1046,3,103,12.973818315966595,77.60655892040997,Incident reported at Cubbon Park Police Station. Offence under Financial Fraud. Investigation underway.
12,11045202600012,202600012,2026-06-30 18:11:22,503,1045,1,101,12.971870987502513,77.54893173011952,Incident reported at Koramangala Police Station. Offence under Robbery / Extortion. Investigation underway.
13,11047202600013,202600013,2026-06-19 18:11:22,503,1047,3,103,12.986115702810851,77.56243660106674,Incident reported at Jayanagar Police Station. Offence under Financial Fraud. Investigation underway.
14,11048202600014,202600014,2026-06-10 18:11:22,502,1048,3,103,12.948665999492244,77.59781026462872,Incident reported at Whitefield Police Station. Offence under Financial Fraud. Investigation underway.
15,11048202600015,202600015,2026-07-22 18:11:22,506,1048,4,104,12.940749780598832,77.60531043295256,Incident reported at Whitefield Police Station. Offence under Stalking / Harassment. Investigation underway.
16,11047202600016,202600016,2026-06-05 18:11:22,507,1047,4,104,12.936959008467543,77.54522187633393,Incident reported at Jayanagar Police Station. Offence under Stalking / Harassment. Investigation underway.
17,11047202600017,202600017,2026-06-20 18:11:22,508,1047,1,101,12.966707778887221,77.58766764115583,Incident reported at Jayanagar Police Station. Offence under Robbery / Extortion. Investigation underway.
18,11048202600018,202600018,2026-05-03 18:11:22,503,1048,2,102,12.969834041583873,77.59308446558899,Incident reported at Whitefield Police Station. Offence under Two-Wheeler Theft. Investigation underway.
19,11048202600019,202600019,2026-05-20 18:11:22,505,1048,1,101,13.021004295451442,77.57735657779627,Incident reported at Whitefield Police Station. Offence under Robbery / Extortion. Investigation underway.
20,11045202600020,202600020,2026-05-12 18:11:22,501,1045,3,103,12.949702798257192,77.63300983483705,Incident reported at Koramangala Police Station. Offence under Financial Fraud. Investigation underway.
21,11048202600021,202600021,2026-07-18 18:11:22,509,1048,4,104,12.974017308189662,77.56444709139352,Incident reported at Whitefield Police Station. Offence under Stalking / Harassment. Investigation underway.
22,11046202600022,202600022,2026-04-26 18:11:22,509,1046,2,102,12.983714791944314,77.57667600531028,Incident reported at Cubbon Park Police Station. Offence under Two-Wheeler Theft. Investigation underway.
23,11046202600023,202600023,2026-05-07 18:11:22,510,1046,2,102,12.947274372101298,77.59341903587563,Incident reported at Cubbon Park Police Station. Offence under Two-Wheeler Theft. Investigation underway.
24,11048202600024,202600024,2026-07-24 18:11:22,502,1048,1,101,12.948507575390531,77.63325757255346,Incident reported at Whitefield Police Station. Offence under Robbery / Extortion. Investigation underway.
25,11048202600025,202600025,2026-05-22 18:11:22,505,1048,2,102,12.999961346614658,77.62768946512016,Incident reported at Whitefield Police Station. Offence under Two-Wheeler Theft. Investigation underway.
26,11047202600026,202600026,2026-07-23 18:11:22,506,1047,3,103,12.983739454613254,77.57305449385498,Incident reported at Jayanagar Police Station. Offence under Financial Fraud. Investigation underway.
27,11047202600027,202600027,2026-05-18 18:11:22,502,1047,4,104,12.963756477790591,77.55525805686734,Incident reported at Jayanagar Police Station. Offence under Stalking / Harassment. Investigation underway.
28,11048202600028,202600028,2026-06-22 18:11:22,506,1048,3,103,12.953362730676629,77.62322515891942,Incident reported at Whitefield Police Station. Offence under Financial Fraud. Investigation underway.
29,11048202600029,202600029,2026-06-13 18:11:22,504,1048,2,102,12.924966379483342,77.60150894034177,Incident reported at Whitefield Police Station. Offence under Two-Wheeler Theft. Investigation underway.
30,11047202600030,202600030,2026-05-23 18:11:22,506,1047,4,104,12.98626542305352,77.59168241023384,Incident reported at Jayanagar Police Station. Offence under Stalking / Harassment. Investigation underway.
31,11045202600031,202600031,2026-05-12 18:11:22,509,1045,2,102,12.960713868841012,77.5877204820554,Incident reported at Koramangala Police Station. Offence under Two-Wheeler Theft. Investigation underway.
32,11048202600032,202600032,2026-05-03 18:11:22,510,1048,2,102,13.014240046913518,77.59729841075378,Incident reported at Whitefield Police Station. Offence under Two-Wheeler Theft. Investigation underway.
33,11044202600033,202600033,2026-07-04 18:11:22,502,1044,2,102,12.937847254903568,77.61832143727896,Incident reported at Indiranagar Police Station. Offence under Two-Wheeler Theft. Investigation underway.
34,11046202600034,202600034,2026-05-13 18:11:22,506,1046,4,104,13.0023545693277,77.63454480777341,Incident reported at Cubbon Park Police Station. Offence under Stalking / Harassment. Investigation underway.
