ChargesheetID,CaseMasterID,ChargesheetNo,FilingDate,DelayDays,IOEmployeeID
1,1,CS-2026-1001,2026-06-20 14:00:00,3,502
2,2,CS-2026-1002,2026-06-20 14:00:00,6,503
3,3,CS-2026-1003,2026-06-20 14:00:00,9,504
4,4,CS-2026-1004,2026-06-20 14:00:00,12,505
5,5,CS-2026-1005,2026-06-20 14:00:00,15,506
6,6,CS-2026-1006,2026-06-20 14:00:00,18,507
7,7,CS-2026-1007,2026-06-20 14:00:00,21,508
8,8,CS-2026-1008,2026-06-20 14:00:00,24,509
9,9,CS-2026-1009,2026-06-20 14:00:00,27,510
10,10,CS-2026-1010,2026-06-20 14:00:00,30,501
11,11,CS-2026-1011,2026-06-20 14:00:00,33,502
12,12,CS-2026-1012,2026-06-20 14:00:00,36,503
13,13,CS-2026-1013,2026-06-20 14:00:00,39,504
14,14,CS-2026-1014,2026-06-20 14:00:00,42,505
15,15,CS-2026-1015,2026-06-20 14:00:00,0,506
16,16,CS-2026-1016,2026-06-20 14:00:00,3,507
17,17,CS-2026-1017,2026-06-20 14:00:00,6,508
18,18,CS-2026-1018,2026-06-20 14:00:00,9,509
19,19,CS-2026-1019,2026-06-20 14:00:00,12,510
20,20,CS-2026-1020,2026-06-20 14:00:00,15,501
21,21,CS-2026-1021,2026-06-20 14:00:00,18,502
22,22,CS-2026-1022,2026-06-20 14:00:00,21,503
23,23,CS-2026-1023,2026-06-20 14:00:00,24,504
24,24,CS-2026-1024,2026-06-20 14:00:00,27,505
25,25,CS-2026-1025,2026-06-20 14:00:00,30,506
